variavel: 17.Saúde humana e serviços sociais
caminho: /Emprego/Número de Vínculos Empregatícios/Ativos/CNAE 2.0 Seção/17.Saúde humana e serviços sociais
fonte: Relação Anual de Informações Sociais
agrupador: Município
descricao: 
Município;ibge;latitude;longitude;"2018 (-)"
"David Canabarro";4306304;-28,384899999990;-51,848199999990;36
Derrubadas;4306320;-27,264199999990;-53,864500000000;1
"Dezesseis de Novembro";4306353;-28,219000000000;-55,061700000000;0
"Dilermando de Aguiar";4306379;-29,705400000000;-54,212200000000;0
"Dois Irmãos";4306403;-29,583600000000;-51,089799999990;133
"Dois Irmãos das Missões";4306429;-27,662099999990;-53,530400000000;0
"Dois Lajeados";4306452;-28,983000000000;-51,839599999990;56
"Dom Feliciano";4306502;-30,700399999990;-52,102600000000;55
"Dom Pedrito";4306601;-30,975600000000;-54,669400000000;322
"Dom Pedro de Alcântara";4306551;-29,363900000000;-49,853000000000;0
"Dona Francisca";4306700;-29,619499999990;-53,361699999990;3
"Doutor Maurício Cardoso";4306734;-27,510300000000;-54,357799999990;4
"Doutor Ricardo";4306759;-29,084000000000;-51,997100000000;0
"Eldorado do Sul";4306767;-30,084700000000;-51,618699999990;19
Encantado;4306809;-29,235099999990;-51,870300000000;307
"Encruzilhada do Sul";4306908;-30,542999999990;-52,520400000000;133
"Engenho Velho";4306924;-27,706000000000;-52,914499999990;0
"Entre Rios do Sul";4306957;-27,529800000000;-52,734699999990;11
Entre-ijuís;4306932;-28,368600000000;-54,268599999990;14
Erebango;4306973;-27,854399999990;-52,300500000000;0
Erechim;4307005;-27,636399999990;-52,269700000000;1.859
Ernestina;4307054;-28,497699999990;-52,583599999990;2
"Erval Grande";4307203;-27,392600000000;-52,573999999990;1
"Erval Seco";4307302;-27,544300000000;-53,500500000000;23
Esmeralda;4307401;-28,051800000000;-51,193300000000;0
"Esperança do Sul";4307450;-27,360299999990;-53,989100000000;0
Espumoso;4307500;-28,728600000000;-52,846100000000;200
Estação;4307559;-27,913499999990;-52,263500000000;46
"Estância Velha";4307609;-29,653500000000;-51,184300000000;89
Esteio;4307708;-29,852000000000;-51,184100000000;1.047
Estrela;4307807;-29,501600000000;-51,960500000000;210
"Estrela Velha";4307815;-29,171299999990;-53,163899999990;0
"Eugênio de Castro";4307831;-28,531500000000;-54,150599999990;7
"Fagundes Varela";4307864;-28,879400000000;-51,701400000000;1
Farroupilha;4307906;-29,222700000000;-51,341900000000;971
"Faxinal do Soturno";4308003;-29,578800000000;-53,448399999990;141
Faxinalzinho;4308052;-27,423800000000;-52,678899999990;0
"Fazenda Vilanova";4308078;-29,588500000000;-51,821700000000;3
Feliz;4308102;-29,452700000000;-51,303199999990;139
"Flores da Cunha";4308201;-29,026199999990;-51,187500000000;184
"Floriano Peixoto";4308250;-27,861400000000;-52,083799999990;0
"Fontoura Xavier";4308300;-28,981600000000;-52,344499999990;276
Formigueiro;4308409;-30,003499999990;-53,495899999990;5
Forquetinha;4308433;-29,379200000000;-52,091700000000;2
"Fortaleza dos Valos";4308458;-28,798600000000;-53,224899999990;10
"Frederico Westphalen";4308508;-27,358599999990;-53,395800000000;358
Garibaldi;4308607;-29,259000000000;-51,535200000000;311
Garruchos;4308656;-28,194400000000;-55,638300000000;1
Gaurama;4308706;-27,585599999990;-52,091500000000;28
"General Câmara";4308805;-29,903199999990;-51,761200000000;5
Gentil;4308854;-28,431600000000;-52,033700000000;0
"Getúlio Vargas";4308904;-27,891100000000;-52,229399999990;241
Giruá;4309001;-28,029699999990;-54,351700000000;177
Glorinha;4309050;-29,879799999990;-50,773400000000;39
Gramado;4309100;-29,373300000000;-50,876199999990;643
"Gramado dos Loureiros";4309126;-27,442900000000;-52,914900000000;0
"Gramado Xavier";4309159;-29,270600000000;-52,579500000000;1
Gravataí;4309209;-29,941299999990;-50,986899999990;1.741
Guabiju;4309258;-28,542100000000;-51,694800000000;17
Guaíba;4309308;-30,108599999990;-51,323300000000;365
Guaporé;4309407;-28,839900000000;-51,889499999990;274
"Guarani das Missões";4309506;-28,149100000000;-54,562899999990;106
Harmonia;4309555;-29,545600000000;-51,418500000000;4
Herval;4307104;-32,024000000000;-53,394399999990;3
Herveiras;4309571;-29,455200000000;-52,655299999990;1
Horizontina;4309605;-27,628200000000;-54,305300000000;126
"Hulha Negra";4309654;-31,406700000000;-53,866700000000;1
Humaitá;4309704;-27,569099999990;-53,969499999990;23
Ibarama;4309753;-29,420300000000;-53,129500000000;1
Ibiaçá;4309803;-28,056600000000;-51,859900000000;25
Ibiraiaras;4309902;-28,374099999990;-51,637700000000;39
Ibirapuitã;4309951;-28,624700000000;-52,515799999990;2
Ibirubá;4310009;-28,630199999990;-53,096100000000;274
Igrejinha;4310108;-29,569299999990;-50,791899999990;366
Ijuí;4310207;-28,388100000000;-53,920000000000;2.426
Ilópolis;4310306;-28,928200000000;-52,125799999990;75
Imbé;4310330;-29,975300000000;-50,128100000000;20
Imigrante;4310363;-29,350800000000;-51,774700000000;3
Independência;4310405;-27,835400000000;-54,188600000000;3
Inhacorá;4310413;-27,875200000000;-54,015000000000;0
Ipê;4310439;-28,817100000000;-51,285899999990;2
"Ipiranga do Sul";4310462;-27,940400000000;-52,427100000000;2
Iraí;4310504;-27,195100000000;-53,254300000000;73
Itaara;4310538;-29,601299999990;-53,772500000000;3
Itacurubi;4310553;-28,791300000000;-55,244700000000;0
Itapuca;4310579;-28,776800000000;-52,169300000000;0
Itaqui;4310603;-29,131000000000;-56,551499999990;222
Itati;4310652;-29,488320000000;-50,113579999990;2
"Itatiba do Sul";4310702;-27,384599999990;-52,453800000000;2
Ivorá;4310751;-29,523199999990;-53,584200000000;6
Ivoti;4310801;-29,599499999990;-51,153300000000;228
Jaboticaba;4310850;-27,634699999990;-53,276200000000;50
Jacuizinho;4310876;-29,021999999990;-53,053699999990;0
Jacutinga;4310900;-27,729099999990;-52,537199999990;21
Jaguarão;4311007;-32,560400000000;-53,377000000000;272
Jaguari;4311106;-29,493600000000;-54,703000000000;78
Jaquirana;4311122;-28,881100000000;-50,363700000000;0
Jari;4311130;-29,292200000000;-54,223700000000;0
Jóia;4311155;-28,643500000000;-54,114100000000;19
"Júlio de Castilhos";4311205;-29,229800000000;-53,677199999990;122
"Lagoa Bonita do Sul";4311239;-29,488199999990;-53,013800000000;0
"Lagoa dos Três Cantos";4311270;-28,567599999990;-52,861800000000;0
"Lagoa Vermelha";4311304;-28,209299999990;-51,524799999990;190
Lagoão;4311254;-29,234800000000;-52,799700000000;0
Lajeado;4311403;-29,459099999990;-51,964399999990;1.873
"Lajeado do Bugre";4311429;-27,691299999990;-53,181800000000;1
"Lavras do Sul";4311502;-30,807099999990;-53,893099999990;50
"Liberato Salzano";4311601;-27,600999999990;-53,075299999990;18
"Lindolfo Collor";4311627;-29,585899999990;-51,214100000000;0
"Linha Nova";4311643;-29,467900000000;-51,200299999990;0
Maçambará;4311718;-29,144500000000;-56,067399999990;0
Machadinho;4311700;-27,566700000000;-51,666800000000;19
Mampituba;4311734;-29,213600000000;-49,931100000000;0
"Manoel Viana";4311759;-29,585899999990;-55,484099999990;3
Maquiné;4311775;-29,679800000000;-50,207900000000;5
Maratá;4311791;-29,545700000000;-51,557299999990;0
Marau;4311809;-28,449800000000;-52,198599999990;410
"Marcelino Ramos";4311908;-27,467600000000;-51,909500000000;38
"Mariana Pimentel";4311981;-30,353100000000;-51,580300000000;1
"Mariano Moro";4312005;-27,356800000000;-52,146700000000;1
"Marques de Souza";4312054;-29,331099999990;-52,097299999990;52
Mata;4312104;-29,564900000000;-54,464100000000;24
"Mato Castelhano";4312138;-28,280000000000;-52,193199999990;0
"Mato Leitão";4312153;-29,528500000000;-52,127800000000;6
"Mato Queimado";4312179;-28,247500000000;-54,619199999990;1
"Maximiliano de Almeida";4312203;-27,632500000000;-51,802100000000;24
"Minas do Leão";4312252;-30,134599999990;-52,042299999990;2
Miraguaí;4312302;-27,497000000000;-53,689100000000;2
Montauri;4312351;-28,646200000000;-52,076700000000;1
"Monte Alegre dos Campos";4312377;-28,680499999990;-50,783400000000;0
"Monte Belo do Sul";4312385;-29,160699999990;-51,633299999990;4
Montenegro;4312401;-29,682400000000;-51,467900000000;1.322
Mormaço;4312427;-28,696800000000;-52,699900000000;1
"Morrinhos do Sul";4312443;-29,357800000000;-49,932800000000;0
"Morro Redondo";4312450;-31,588699999990;-52,626100000000;12
"Morro Reuter";4312476;-29,537900000000;-51,081099999990;3
Mostardas;4312500;-31,105399999990;-50,916699999990;40
Muçum;4312609;-29,163000000000;-51,871400000000;94
"Muitos Capões";4312617;-28,313199999990;-51,183599999990;0
Muliterno;4312625;-28,325299999990;-51,769700000000;3
Não-Me-Toque;4312658;-28,454799999990;-52,818199999990;225
"Nicolau Vergueiro";4312674;-28,529800000000;-52,467599999990;3
Nonoai;4312708;-27,368900000000;-52,775599999990;147
"Nova Alvorada";4312757;-28,682200000000;-52,163100000000;2
"Nova Araçá";4312807;-28,653700000000;-51,745800000000;7
"Nova Bassano";4312906;-28,729099999990;-51,707200000000;64
"Nova Boa Vista";4312955;-27,992599999990;-52,978400000000;3
"Nova Bréscia";4313003;-29,218200000000;-52,031900000000;38
"Nova Candelária";4313011;-27,613700000000;-54,107399999990;1
"Nova Esperança do Sul";4313037;-29,406600000000;-54,829300000000;4
"Nova Hartz";4313060;-29,580700000000;-50,905099999990;26
"Nova Pádua";4313086;-29,027500000000;-51,309800000000;0
"Nova Palma";4313102;-29,471000000000;-53,468899999990;50
"Nova Petrópolis";4313201;-29,374099999990;-51,113500000000;163
"Nova Prata";4313300;-28,779900000000;-51,611300000000;300
"Nova Ramada";4313334;-28,066700000000;-53,699199999990;1
"Nova Roma do Sul";4313359;-28,988199999990;-51,409500000000;2
"Nova Santa Rita";4313375;-29,852499999990;-51,283700000000;9
"Novo Barreiro";4313490;-27,907699999990;-53,110300000000;2
"Novo Cabrais";4313391;-29,733799999990;-52,948900000000;1
"Novo Hamburgo";4313409;-29,687600000000;-51,132800000000;5.934
"Novo Machado";4313425;-27,576499999990;-54,503599999990;1
"Novo Tiradentes";4313441;-27,564900000000;-53,183700000000;2
"Novo Xingu";4313466;-27,743099999990;-53,061599999990;2
Osório;4313508;-29,888100000000;-50,266700000000;577
"Paim Filho";4313607;-27,707500000000;-51,762999999990;40
"Palmares do Sul";4313656;-30,253499999990;-50,510300000000;52
"Palmeira das Missões";4313706;-27,900600000000;-53,313400000000;296
Palmitinho;4313805;-27,359600000000;-53,558000000000;50
Panambi;4313904;-28,283300000000;-53,502299999990;281
"Pantano Grande";4313953;-30,190100000000;-52,372900000000;19
Paraí;4314001;-28,596399999990;-51,789600000000;59
"Paraíso do Sul";4314027;-29,671700000000;-53,143999999990;29
"Pareci Novo";4314035;-29,636500000000;-51,397399999990;8
Parobé;4314050;-29,624300000000;-50,831200000000;355
"Passa Sete";4314068;-29,457699999990;-52,959899999990;1
"Passo do Sobrado";4314076;-29,748000000000;-52,274799999990;3
"Passo Fundo";4314100;-28,257600000000;-52,409100000000;7.197
"Paulo Bento";4314134;-27,697800000000;-52,426099999990;1
Paverama;4314159;-29,548500000000;-51,733899999990;22
"Pedras Altas";4314175;-31,721699999990;-53,583799999990;0
"Pedro Osório";4314209;-31,864200000000;-52,818399999990;62
Pejuçara;4314308;-28,428300000000;-53,657899999990;17
Pelotas;4314407;-31,764900000000;-52,337100000000;5.615
"Picada Café";4314423;-29,446400000000;-51,136699999990;1
Pinhal;4314456;-27,507999999990;-53,208199999990;1
"Pinhal da Serra";4314464;-27,863399999990;-51,170200000000;1
"Pinhal Grande";4314472;-29,344999999990;-53,320700000000;17
"Pinheirinho do Vale";4314498;-27,210899999990;-53,607999999990;6
"Pinheiro Machado";4314506;-31,579400000000;-53,379800000000;103
"Pinto Bandeira";4314548;-29,000000000000;-54,000000000000;1
Pirapó;4314555;-28,043900000000;-55,200099999990;2
Piratini;4314605;-31,447299999990;-53,097299999990;147
Planalto;4314704;-27,329699999990;-53,057500000000;54
"Poço das Antas";4314753;-29,448100000000;-51,671900000000;2
Pontão;4314779;-28,058499999990;-52,679099999990;0
"Ponte Preta";4314787;-27,658700000000;-52,484800000000;0
Portão;4314803;-29,701499999990;-51,242899999990;88
"Porto Alegre";4314902;-30,032778000000;-51,230000000000;64.802
"Porto Lucena";4315008;-27,856900000000;-55,009999999990;38
"Porto Mauá";4315057;-27,579599999990;-54,665700000000;3
"Porto Vera Cruz";4315073;-27,740500000000;-54,899400000000;0
"Porto Xavier";4315107;-27,908200000000;-55,137900000000;94
"Pouso Novo";4315131;-29,173800000000;-52,213600000000;1
"Presidente Lucena";4315149;-29,517600000000;-51,179800000000;1
Progresso;4315156;-29,244199999990;-52,319699999990;70
"Protásio Alves";4315172;-28,757200000000;-51,475700000000;0
Putinga;4315206;-29,004500000000;-52,156900000000;26
Quaraí;4315305;-30,384000000000;-56,448300000000;188
"Quatro Irmãos";4315313;-27,816299999990;-52,441899999990;0
Quevedos;4315321;-29,350400000000;-54,078899999990;0
"Quinze de Novembro";4315354;-28,746500000000;-53,101100000000;20
Redentora;4315404;-27,664000000000;-53,640700000000;16
Relvado;4315453;-29,116399999990;-52,077800000000;0
"Restinga Sêca";4315503;-29,818800000000;-53,380699999990;82
"Rio dos Índios";4315552;-27,297300000000;-52,841700000000;2
"Rio Grande";4315602;-32,034900000000;-52,107100000000;2.554
"Rio Pardo";4315701;-29,988000000000;-52,371099999990;173
Riozinho;4315750;-29,638999999990;-50,448799999990;53
"Roca Sales";4315800;-29,288399999990;-51,865800000000;23
"Rodeio Bonito";4315909;-27,474200000000;-53,170600000000;62
Rolador;4315958;-28,257670000000;-54,818640000000;0
Rolante;4316006;-29,646200000000;-50,581899999990;134
"Ronda Alta";4316105;-27,775800000000;-52,805599999990;126
Rondinha;4316204;-27,831499999990;-52,908099999990;28
"Roque Gonzales";4316303;-28,129700000000;-55,026600000000;2
"Rosário do Sul";4316402;-30,251500000000;-54,922100000000;347
"Sagrada Família";4316428;-27,708500000000;-53,135100000000;0
"Saldanha Marinho";4316436;-28,394100000000;-53,097000000000;13
"Salto do Jacuí";4316451;-29,095099999990;-53,213299999990;8
"Salvador das Missões";4316477;-28,123300000000;-54,837299999990;2
"Salvador do Sul";4316501;-29,438600000000;-51,507700000000;36
Sananduva;4316600;-27,946999999990;-51,807899999990;159
"Santa Bárbara do Sul";4316709;-28,365300000000;-53,250999999990;67
"Santa Cecília do Sul";4316733;-28,153700000000;-51,929600000000;0
"Santa Clara do Sul";4316758;-29,474699999990;-52,084299999990;23
"Santa Cruz do Sul";4316808;-29,722000000000;-52,434300000000;2.481
"Santa Margarida do Sul";4316972;-30,329599999990;-54,082299999990;0
"Santa Maria";4316907;-29,686800000000;-53,814999999990;5.812
"Santa Maria do Herval";4316956;-29,490200000000;-50,991900000000;3
"Santa Rosa";4317202;-27,870200000000;-54,479599999990;1.238
"Santa Tereza";4317251;-29,165500000000;-51,735100000000;0
"Santa Vitória do Palmar";4317301;-33,524999999990;-53,371699999990;203
"Santana da Boa Vista";4317004;-30,869700000000;-53,109999999990;6
"Santana do Livramento";4317103;-30,887699999990;-55,531500000000;715
Santiago;4317400;-29,189699999990;-54,866599999990;636
"Santo Ângelo";4317509;-28,300100000000;-54,266800000000;1.565
"Santo Antônio da Patrulha";4317608;-29,826799999990;-50,517499999990;343
"Santo Antônio das Missões";4317707;-28,513999999990;-55,225099999990;9
"Santo Antônio do Palma";4317558;-28,495600000000;-52,026699999990;0
"Santo Antônio do Planalto";4317756;-28,403099999990;-52,699199999990;1
"Santo Augusto";4317806;-27,852599999990;-53,777600000000;155
"Santo Cristo";4317905;-27,826300000000;-54,661999999990;112
"Santo Expedito do Sul";4317954;-27,907399999990;-51,643300000000;3
"São Borja";4318002;-28,657800000000;-56,003599999990;632
"São Domingos do Sul";4318051;-28,531199999990;-51,886000000000;5
"São Francisco de Assis";4318101;-29,554700000000;-55,125300000000;113
"São Francisco de Paula";4318200;-29,440400000000;-50,582799999990;131
"São Gabriel";4318309;-30,333700000000;-54,321700000000;679
"São Jerônimo";4318408;-29,971599999990;-51,725099999990;415
"São João da Urtiga";4318424;-27,819500000000;-51,825699999990;6
"São João do Polêsine";4318432;-29,619399999990;-53,443899999990;20
"São Jorge";4318440;-28,498400000000;-51,706400000000;1
"São José das Missões";4318457;-27,778900000000;-53,122599999990;0
"São José do Herval";4318465;-29,052000000000;-52,295000000000;12
"São José do Hortêncio";4318481;-29,527999999990;-51,245000000000;2
"São José do Inhacorá";4318499;-27,725100000000;-54,127499999990;16
"São José do Norte";4318507;-32,015099999990;-52,033099999990;40
"São José do Ouro";4318606;-27,770700000000;-51,596600000000;124
"São José do Sul";4318614;-29,529000000000;-51,487099999990;7
"São José dos Ausentes";4318622;-28,747599999990;-50,067700000000;19
"São Leopoldo";4318705;-29,754500000000;-51,149799999990;2.209
"São Lourenço do Sul";4318804;-31,356400000000;-51,971499999990;521
"São Luiz Gonzaga";4318903;-28,411999999990;-54,955900000000;330
"São Marcos";4319000;-28,967700000000;-51,069600000000;177
"São Martinho";4319109;-27,711200000000;-53,969900000000;38
"São Martinho da Serra";4319125;-29,539700000000;-53,859000000000;0
"São Miguel das Missões";4319158;-28,556000000000;-54,555900000000;56
"São Nicolau";4319208;-28,183399999990;-55,265400000000;12
"São Paulo das Missões";4319307;-28,019500000000;-54,940399999990;45
"São Pedro da Serra";4319356;-29,419300000000;-51,513399999990;3
"São Pedro das Missões";4319364;-27,773219999990;-53,250470000000;0
"São Pedro do Butiá";4319372;-28,124300000000;-54,892600000000;2
"São Pedro do Sul";4319406;-29,620200000000;-54,185499999990;39
"São Sebastião do Caí";4319505;-29,588500000000;-51,374899999990;247
"São Sepé";4319604;-30,164300000000;-53,560299999990;150
"São Valentim";4319703;-27,558299999990;-52,523699999990;14
"São Valentim do Sul";4319711;-29,045100000000;-51,768400000000;0
"São Valério do Sul";4319737;-27,790600000000;-53,936799999990;0
"São Vendelino";4319752;-29,372900000000;-51,367500000000;0
"São Vicente do Sul";4319802;-29,688199999990;-54,682600000000;7
Sapiranga;4319901;-29,634899999990;-51,006500000000;632
"Sapucaia do Sul";4320008;-29,827600000000;-51,145000000000;1.434
Sarandi;4320107;-27,942000000000;-52,923099999990;215
Seberi;4320206;-27,482900000000;-53,402600000000;71
"Sede Nova";4320230;-27,636700000000;-53,949300000000;0
Segredo;4320263;-29,352300000000;-52,976700000000;25
Selbach;4320305;-28,629400000000;-52,949800000000;46
"Senador Salgado Filho";4320321;-28,025000000000;-54,550699999990;1
"Sentinela do Sul";4320354;-30,610700000000;-51,586199999990;1
"Serafina Corrêa";4320404;-28,712599999990;-51,935299999990;96
Sério;4320453;-29,390400000000;-52,268500000000;14
Sertão;4320503;-27,979800000000;-52,258800000000;34
"Sertão Santana";4320552;-30,456199999990;-51,601700000000;5
"Sete de Setembro";4320578;-28,136199999990;-54,463700000000;0
"Severiano de Almeida";4320602;-27,436199999990;-52,121699999990;30
"Silveira Martins";4320651;-29,646699999990;-53,591000000000;0
Sinimbu;4320677;-29,535699999990;-52,530500000000;62
Sobradinho;4320701;-29,419400000000;-53,032600000000;132
Soledade;4320800;-28,830600000000;-52,513100000000;222
Tabaí;4320859;-29,643000000000;-51,682299999990;1
Tapejara;4320909;-28,065200000000;-52,009700000000;283
Tapera;4321006;-28,627700000000;-52,861199999990;13
Tapes;4321105;-30,668299999990;-51,399099999990;62
Taquara;4321204;-29,650500000000;-50,775300000000;448
Taquari;4321303;-29,794300000000;-51,865299999990;219
"Taquaruçu do Sul";4321329;-27,400400000000;-53,470300000000;17
Tavares;4321352;-31,284300000000;-51,088000000000;0
"Tenente Portela";4321402;-27,371099999990;-53,758499999990;499
"Terra de Areia";4321436;-29,578199999990;-50,064399999990;49
Teutônia;4321451;-29,448200000000;-51,804400000000;307
"Tio Hugo";4321469;-28,574040000000;-52,594900000000;0
